[0.001] [INFO ] [Game] (Game.cpp:37 in initialize) Logger online
[0.199] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.203] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.204] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.205] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.205] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.205] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.205] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.205] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.206] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.206] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.206] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.206] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.207] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.208] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.208] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.209] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.209] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.209] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.209] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.209] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.210] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.210] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.211] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.212] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.212] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.212] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.212] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.212] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.212] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.213] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.213] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.213] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.213] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.213] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.215] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.215] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.215] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.215] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.215] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.215] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.215] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.215] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.216] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.216] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.216] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.216] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.216] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.216] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.216] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.218] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.218] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.218] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.218] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.218] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.218] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.219] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.219] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.219] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.219] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.219] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.219] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.219] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.220] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.220] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.221] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.221] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.221] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.221] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.222] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.222] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.222] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.222] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.222] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.222] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.222] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.223] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.223] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.223] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.223] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.223] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.224] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.224] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.225] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.225] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.225] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.225] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.225] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.225] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.225] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.226] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.226] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
